敏	敏︀
敏	敏󠄀
敝	敝󠄀
敞	敞󠄀
敢	敢󠄀
敷	敷󠄁
斃	斃󠄀
文	文󠄁
斉	斉󠄁
斎	斎󠄁
斐	斐󠄁
斜	斜󠄁
斧	斧󠄀
於	於󠄀
旅	旅󠄁
旟	旟󠄁
旡	旡󠄀
既	既︀
既	既󠄀
明	明󠄁
晟	晟󠄁
晦	晦󠄁
晧	晧󠄀
晩	晩󠄀
普	普󠄀
晴	晴︀
晴	晴󠄀
晷	晷󠄀
暁	暁󠄀
暑	暑︀
暑	暑󠄁
暖	暖󠄁
暗	暗󠄁
暵	暵󠄀
曁	曁󠄀
曙	曙󠄁
曜	曜󠄁
更	更󠄁
曵	曵󠄀
書	書󠄁
曻	曻󠄀
曼	曼󠄁
最	最󠄁
月	月󠄁
有	有󠄀
朋	朋󠄁
服	服󠄁
朕	朕󠄂
朗	朗󠄃
望	望󠄂
朝	朝󠄁
期	期󠄁
杓	杓󠄁
杖	杖󠄀
杞	杞󠄀
条	条󠄁
松	松󠄁
枦	枦󠄁
枩	枩󠄀
柄	柄󠄀
柊	柊󠄁
柔	柔󠄀
柧	柧󠄀
柱	柱󠄀
栁	栁󠄀
栂	栂󠄀
栓	栓󠄁
栟	栟󠄁
校	校󠄁
桃	桃󠄀
桒	桒󠄀
桝	桝󠄂
桺	桺󠄀
梁	梁󠄀
梅	梅︀
梅	梅󠄀
梍	梍󠄀
梗	梗󠄀
梛	梛󠄁
條	條󠄀
梢	梢󠄁
棈	棈󠄀
棚	棚󠄁
植	植󠄀
椰	椰󠄀
椽	椽󠄀
楞	楞󠄁
楢	楢󠄁
楫	楫󠄀
楯	楯󠄀
概	概󠄃
榊	榊󠄁
榔	榔󠄁
榧	榧󠄀
榻	榻󠄁
槁	槁󠄀
構	構󠄁
槌	槌󠄁
槙	槙󠄁
槪	槪󠄁
槾	槾󠄁
樋	樋󠄁
樽	樽󠄁
橄	橄󠄀
橕	橕󠄁
機	機󠄀
橳	橳󠄀
檎	檎󠄁
檐	檐󠄀
櫛	櫛󠄀
欄	欄︀
欄	欄󠄀
欝	欝󠄁
次	次󠄁
欤	欤󠄁
歎	歎󠄁
殖	殖󠄀
殻	殻󠄀
氈	氈󠄀
氓	氓󠄀
永	永󠄀
氺	氺󠄁
汲	汲󠄁
沪	沪󠄁
沿	沿󠄂
泡	泡󠄁
注	注󠄀
派	派󠄂
浩	浩󠄁
浮	浮󠄁
海	海︀
海	海󠄀
浸	浸󠄁
消	消󠄁
淤	淤󠄀
淫	淫󠄁
添	添󠄁
済	済󠄁
渚	渚︀
渚	渚󠄀
渣	渣󠄀
港	港󠄁
湮	湮󠄁
湲	湲󠄀
溝	溝󠄁
溢	溢󠄁
溺	溺󠄁
滋	滋󠄂
滕	滕󠄁
滛	滛󠄁
滬	滬󠄁
滾	滾󠄀
漑	漑󠄁
漢	漢︀
漢	漢󠄁
漣	漣󠄀
漾	漾󠄀
潑	潑󠄁
潔	潔󠄁
潤	潤󠄀
潮	潮󠄀
潴	潴󠄀
澘	澘󠄁
濯	濯󠄁
濹	濹󠄀
瀕	瀕󠄁
瀛	瀛󠄁
瀞	瀞󠄁
瀦	瀦󠄁
瀧	瀧󠄀
灊	灊󠄁
灘	灘󠄁
灰	灰󠄁
灸	灸󠄁
灼	灼󠄁
炭	炭󠄀
煉	煉󠄀
煎	煎󠄁
煒	煒󠄀
煙	煙󠄁
煢	煢󠄀
煮	煮︀
煮	煮󠄀
煽	煽󠄂
熔	熔󠄀
熳	熳󠄁
燐	燐󠄁
燿	燿󠄁
爨	爨󠄀
爫	爫󠄀
爵	爵󠄂
父	父󠄁
爺	爺󠄀
爻	爻󠄀
爾	爾󠄀
牌	牌󠄁
牙	牙󠄁
狡	狡󠄀
猜	猜󠄀
猪	猪︀
猪	猪󠄀
猶	猶󠄂
猷	猷󠄂
率	率󠄁
珊	珊󠄀
珎	珎󠄁
珥	珥󠄁
班	班󠄁
琢	琢︀
琢	琢󠄀
琲	琲󠄀
瑟	瑟󠄀
瑢	瑢󠄀
環	環󠄁
璽	璽󠄀
瓊	瓊󠄁
瓘	瓘󠄁
瓜	瓜󠄀
瓠	瓠󠄀
瓯	瓯󠄁
甄	甄󠄁
甑	甑󠄃
甕	甕󠄀
甦	甦󠄀
畔	畔󠄁
畝	畝󠄀
疼	疼󠄁
病	病󠄀
瘈	瘈󠄁
瘦	瘦󠄀
癒	癒󠄁
癤	癤󠄀
癩	癩󠄀
癲	癲󠄀
的	的󠄁
皓	皓󠄁
盆	盆󠄁
益	益︀
益	益󠄁
盔	盔󠄀
盛	盛󠄁
盟	盟󠄁
盲	盲󠄁
直	直󠄀
眞	眞󠄁
真	真󠄀
眷	眷󠄀
眺	眺󠄀
睾	睾󠄀
瞍	瞍󠄁
瞢	瞢󠄁
瞥	瞥󠄁
瞬	瞬󠄁
矩	矩󠄁
砲	砲󠄁
砺	砺󠄀
硝	硝󠄁
硬	硬󠄁
硼	硼󠄁
碑	碑︀
碑	碑󠄀
磨	磨󠄁
磯	磯󠄀
礴	礴󠄁
示	示󠄁
礼	礼︀
礼	礼󠄁
社	社︀
社	社󠄁
祀	祀󠄀
祁	祁󠄁
祇	祇󠄁
祈	祈︀
祈	祈󠄀
祉	祉︀
祉	祉󠄁
祐	祐︀
祐	祐󠄀
祓	祓󠄀
祖	祖︀
祖	祖󠄁
祝	祝︀
祝	祝󠄀
神	神︀
神	神󠄀
祥	祥︀
祥	祥󠄀
禍	禍︀
禍	禍󠄀
禎	禎︀
禎	禎󠄁
福	福︀
福	福󠄁
禧	禧󠄀
禮	禮󠄀
禰	禰󠄁
禱	禱󠄀
禺	禺󠄀
秤	秤󠄁
程	程󠄁
稗	稗󠄁
稙	稙󠄀
稱	稱󠄁
穀	穀︀
穀	穀󠄀
穠	穠󠄁
穴	穴󠄁
空	空󠄀
穿	穿󠄁
突	突︀
突	突󠄁
窕	窕󠄀
窗	窗󠄁
窮	窮󠄀
窾	窾󠄀
竆	竆󠄀
竈	竈󠄁
笈	笈󠄂
筑	筑󠄁
筵	筵󠄀
箙	箙󠄁
箭	箭󠄁
箸	箸󠄁
節	節︀
節	節󠄁
篇	篇󠄁
築	築󠄁
篝	篝󠄁
篠	篠󠄀
簔	簔󠄀
簾	簾󠄁
簿	簿󠄁
籍	籍󠄁
籐	籐󠄁
籘	籘󠄁
籩	籩󠄀
籾	籾󠄁
粂	粂󠄁
粉	粉󠄁
粐	粐󠄁
粮	粮󠄁
精	精︀
精	精󠄀
糖	糖󠄀
約	約󠄁
紉	紉󠄀
紋	紋󠄁
納	納󠄁
級	級󠄁
紛	紛󠄁
終	終󠄁
絆	絆󠄀
絜	絜󠄁
絞	絞󠄁
絣	絣󠄁
絳	絳󠄀
綛	綛󠄁
綟	綟󠄁
綮	綮󠄁
網	網󠄁
緋	緋󠄀
総	総󠄁
緝	緝󠄁
編	編󠄁
緩	緩󠄁
緯	緯󠄁
練	練︁
練	練󠄀
縉	縉󠄀
縛	縛󠄁
縢	縢󠄂
縫	縫󠄁
縵	縵󠄂
繁	繁︀
繁	繁󠄁
繃	繃󠄁
繭	繭󠄀
續	續󠄀
缾	缾󠄁
罐	罐󠄀
罡	罡󠄀
罪	罪󠄀
置	置󠄀
署	署︀
署	署󠄀
羊	羊󠄁
羡	羡󠄀
羮	羮󠄀
羽	羽︀
羽	羽󠄀
翁	翁󠄂
翅	翅󠄀
翆	翆󠄀
翌	翌󠄁
習	習󠄁
翔	翔󠄁
翠	翠󠄁
翡	翡󠄀
翩	翩󠄁
翫	翫󠄁
翰	翰󠄁
翻	翻󠄁
翼	翼󠄂
耀	耀󠄁
考	考󠄁
者	者︀
者	者󠄁
耒	耒󠄀
耕	耕󠄁
耗	耗󠄁
耶	耶󠄀
聚	聚󠄀
聟	聟󠄀
聡	聡󠄁
聯	聯󠄀
聱	聱󠄀
聳	聳󠄀
聴	聴󠄀
聶	聶󠄁
職	職󠄀
聾	聾󠄀
肇	肇󠄁
肉	肉󠄀
肖	肖󠄁
肞	肞󠄁
肩	肩󠄁
肺	肺󠄁
胖	胖󠄀
胞	胞󠄁
脆	脆󠄀
脈	脈󠄂
脉	脉󠄀
脩	脩󠄀
腓	腓󠄀
腔	腔󠄀
腰	腰󠄀
腱	腱󠄀
腿	腿󠄁
膵	膵󠄀
臍	臍󠄀
臭	臭︀
臭	臭󠄁
舀	舀󠄀
舘	舘󠄀
舛	舛󠄀
舜	舜󠄁
舟	舟󠄀
舮	舮󠄁
船	船󠄁
艀	艀󠄀
