𤴁	疉
𤴡	疐
痪	瘓
𤸄	瘝
痩	瘦
臯	皐
皡	皥
𥁋	盇
𫞰	盈
𥁘	盏
𥁫	盏
𭕘	眉
真	眞
衆	眾
𥈤	睫
𥌒	瞽
𥑉	砈
𥒐	砉
𮀒	砉
研	硏
𥓓	碑
𥔵	磁
鿆	祓
𥚬	祹
禄	祿
𥜽	禼
𥜾	禼
秃	禿
䄵	秊
𥝝	秊
税	稅
𥡴	稽
穂	穗
𫞹	空
𥤮	突
筝	箏
𥭼	箓
𥮷	箬
𥲒	築
𥰉	篌
簒	篡
𥱡	篾
箳	簈
簔	簑
𥶉	籑
籖	籤
𥹣	粣
𥹤	粣
𥺁	粧
𥹭	粱
粤	粵
𫒀	粵
𬗋	紫
絶	絕
緑	綠
緒	緖
縁	緣
𬗟	緬
𬗨	緽
緼	縕
𬗫	縣
𦅩	繪
纎	纖
𦉳	网
芈	羋
羙	美
𫟈	美
𮎪	美
𦍛	羕
羮	羹
翺	翶
翺	翶
𫰗	耍
𦕓	聓
𠕎	肉
𮌇	肉
䏍	肙
𦙪	肩
𦙌	胤
𦙍	胤
䏻	能
𦝕	能
𮌛	能
𦛹	胾
脱	脫
𦜉	脾
胼	腁
腽	膃
𦟾	膒
𦤀	臭
𦤺	致
臾	臾
𠒍	臾
𢆍	臿
𦥝	舀
舃	舄
𠢎	舅
𫟋	與
𦦙	舉
𦾔	舊
舎	舍
舗	舖
𫇧	芩
𠰥	若
䒮	茕
兹	茲
𦯬	荼
𭄳	莇
𦮆	菆
葘	菑
𫟏	菟
𦵉	萐
𦳆	萒
𦳯	蒁
蒀	蒕
𦻴	蓵
蓘	蔉
蓘	蔉
𦷾	蔕
蒍	蔿
蕰	薀
𦿾	藜
藴	蘊
𧁨	蘓
𡖂	虁
𮓗	虍
𮓙	虎
虚	虛
𮓥	虞
𮓰	虫
𧈡	蚤
𫊫	蚤
𧊨	蚦
蜖	蛔
𧉨	蛩
蜕	蛻
𧎉	蜣
𧑛	蟰
𫟘	衞
𮕩	衰
𡊮	袁
𡋡	袁
䘠	袚
