⺤	⺥
⺭	⺬
⺾	⺿
⻌	⻍
⻎	⻍
⻟	⻞
⺓	⼳
⺯	⽷
⻆	⾓
⻘	⾭
⻝	⾷
⻣	⾻
⻤	⿁
⻩	⿈
⻱	⿔
𬺽	㐂
𠉶	㑭
𤥔	㓘
𠪨	㕓
𠬍	㕙
䎛	㖈
𡁖	㗼
㦳	㘽
𡍤	㘿
𡎲	㙜
𪦅	㛴
嫩	㜛	n
𡡎	㜢
𡤎	㜶
𡭪	㝸
𥚋	㞊
𡉚	㞷
𡶨	㟁
嵜	㟢
𪩙	㠚
𰏘	㡀
𢎼	㢭
𢘵	㤻
㤤	㥚
𢢡	㥿
𭡟	㨬
𢳌	㨾
攑	㩮
𢼨	㩻
𢼮	㩻
𢺾	㪆
𢼕	㪆
𢽢	㪞
𣂚	㪿
𣊠	㬓
𣏈	㭃
𣚓	㯞
𣪝	㲄
浻	㴄
𤈎	㶷
𤈺	㷀
𭴶	㷁
𦻐	㷹
牬	㸬	n
𤡙	㺑
𤢷	㺤
𤦅	㻗
𤩺	㼁
瓥	㼖	n
𤭘	㼢
𤬳	㼦
蕤	㽔
𭼝	㾨
𥉱	䁆
𥑒	䂧
䃱	䃸
𰨌	䄎
𥪎	䇑
𥬺	䇦
𥮚	䈀
𦉻	䍑
𦗩	䏇
𦢙	䑎
𦭎	䒢
𦳨	䓼
𧃬	䕩
𧆲	䖒
𮓱	䖝
䘂	䘋
𧚎	䙄
𧞑	䙩
𮘩	䛴
𧭄	䜈
龻	䜌
𨌦	䡟
𨡞	䤄
𰼍	䤋
𨣲	䤘
𨨿	䤹
𨲶	䦋
𨹆	䧎
𩢞	䭹
𩣙	䮢
𩰘	䰗
𩳠	䰥
䱎	䱍
𮬹	䳟
𪍾	䵅
𡤞	䶯
𣢧	䶾
丢	丟
𢩦	丮
𠃨	丮
𫝄	久
乆	久
𠂰	乕
𢁺	乕
𠄣	亙
𠓛	亼
𫝆	今
仭	仞
𬽶	伉
𠇞	伎
𪜬	余
𪜱	余
𪜩	佝
伱	你
侣	侶
俣	俁
𠈷	俾
併	倂
𫝉	倉
𠉀	候
𠋣	倚
偼	倢
值	値
俱	倶
偷	偸
𠋏	傊
𠌂	傘
𩑭	傾
𠏗	僚
偽	僞
𠃔	允
兊	兌
兑	兌
兎	兔
兖	兗
内	內
俞	兪
𠔃	兮
𠔏	共
册	冊
𠳲	冔
𠗟	凂
净	凈
凢	凡
凣	凡
𠙽	凷
刄	刃
刉	刏
𠛬	刑
别	別
删	刪
刴	剁
刹	剎
剥	剝
𠟾	剿
劔	劒
𠠤	劖
𠠥	劖
蠫	劙	n
㓛	功
𠡍	劲
勊	勀
𠡳	勔
勗	勖	n
𠢀	勤
𠢄	勤
𠢶	勦
勻	匀	v
匄	匃
𭅅	匈
𠣿	匓
𠥆	匩
奩	匳	n
㔺	卋
𠦔	卋
𤰞	卑
𠦢	協
𠀄	卫
巻	卷
巹	卺
即	卽
𠩇	厖
㕘	參
𤓾	受
𠮉	叡
𠮥	召
𠮷	吉
呑	吞
𭇅	吱
吴	吳
呉	吳
𠯵	吳
呐	吶
告	吿
吕	呂
𣎼	呆
𭈆	哀
